fullname,address
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением отдельных предметов № 1248""","121352, г. Москва, ул.Давыдковская, д.2, корп.6"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 2200""","105215, г. Москва, ул. 11-я Парковая, д. 50"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1195""","121354, г. Москва, ул. Дорогобужская, д.13"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1200""","111673, г. Москва, Суздальская ул, 24 Б"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 170 имени А.П. Чехова""","117485, г. Москва, Профсоюзная ул., дом 96 Б"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1000""","119619, г. Москва, ул.Наро-Фоминская, д.1"
"Государственное бюджетное образовательное учреждение города Москвы центр образования ""Технологии обучения""","121151, г. Москва, Резервный проезд, д. 10"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1287""","125167, г. Москва, проезд Аэропорта, дом 10"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1540""","103055, г. Москва, Новослободская ул., д.57, стр.1"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2090""","109377, город Москва, ул. 1-я Новокузьминская, д. 21"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 705""","123592, г. Москва, ул. Кулакова, д. 25, кор. 2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1151""","124617, г. Москва, Зеленоград, корп. 1469"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1298""","125466, г. Москва, ул. Юровская, д. 97"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 319""","105122, г. Москва, ул. Амурская, дом 6"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 345 имени А.С. Пушкина""","105066, г. Москва, Елоховский пр., д.1, стр.5"
