fullname,Сайт,Отчёт,Год отчёта,учащихся,Английский_егэ,,Французский_егэ,,Немецкий_егэ,,Русский_егэ,,География_егэ,,Обществознание_егэ,,Литература_егэ,,История_егэ,,Информатика_егэ,,Математика_егэ,,Химия_егэ,,Биология_егэ,,Физика_егэ,,address,lng,lat
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1564 имени Героя Советского Союза А. П.Белобородова""",http://lyc1564.mskobr.ru,http://st.educom.ru//eduoffices/gateways/get_file.php?id={37FD920F-1627-4814-B580-32389D55F5F7}&name=2014-2015--samoobsledovanie.pdf,2015,1810,63.2,10,,,,,71.4,,49,1,58.9,20,37.3,3,60.8,8,46.8,5,44.35,,56,7,63,12,62.2,5,"125222, г. Москва, улица Рословка, дом 8",37.360564,55.830265
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 237 имени В.Ф. Орлова""",http://csh237.mskobr.ru/,http://csh237.mskobr.ru/files/publichnyj_otchet_14-15.pdf,2015,2972,x,,,,,,,,,,,,,,,,,,,,,,,,,,"127521 Москва, Октябрьская улица д.81",37.611985,55.795939
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 641 имени Сергея Есенина""",http://sch641uv.mskobr.ru,http://sch641uv.mskobr.ru/files/%20%282%29.pdf,2015,1490,x,,,,,,,,,,,,,,,,,,,,,,,,,,"109462, г. Москва, Волгоградский проспект, д.66, корпус 4",37.75691,55.704443
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1474""",http://sch1474s.mskobr.ru,http://sch1474s.mskobr.ru/files/%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%202014-2015%20v.3.4.pdf,2015,1448,x,,,,,,,,,,,,,,,,,,,,,,,,,,"125475 г. Москва, ул. Клинская, д.22",37.49064,55.871334
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1538""",http://gym1538sz.mskobr.ru,http://gym1538sz.mskobr.ru/files/publichnyj_doklad_direktora_2015.pdf,2015,2610,65,46,,,,,76,168,69,6,62,103,70,10,59,11,61,18,55,119,65,24,71,30,59,26,"125464, г. Москва, здание 1:Новотушинский проезд, д. 8, корп. 2;",37.381342,55.839739
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2095 ""Покровский квартал""",http://sch2095c.mskobr.ru,http://st.educom.ru//eduoffices/gateways/get_file.php?id={ABFEC6C9-AE56-4D07-93A1-3DA21C97F478}&name=samoobledovanie_iiikvart_2015.pdf,2015,3261,x,,,,,,,,,,,,,,,,,,,,,,,,,,"105064 Москва, Большой Казённый переулок д.9",37.655634,55.760373
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением отдельных предметов № 1234""",http://sch1234c.mskobr.ru,http://sch1234c.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D0%B0%20%20%D0%93%D0%9E%D0%A3%20%D0%A1%D0%9E%D0%A8%201234%202014-2015%282%29.doc,2015,1250,x,,,,,,,,,,,,,,,,,,,,,,,,,,"121069 г.Москва, ул. Большая Молчановка, д.26-28",37.59012,55.753463
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1562 имени Артема Боровика,http://gym1562uv.mskobr.ru,http://gym1562uv.mskobr.ru/files/publichnyj_doklad_gosudarstvennogo_byudzhetnogo_obrazovatel_nog_uchrezhdeniya_goroda_moskvy_gimnazii_1562_imeni_artema_borovika_za_2014-2015_uchebnyj_god.pdf,2015,2099,79,47,83,1,,,86,93,,,70,55,80,6,58,17,71,15,72,72,80,5,82,4,68,23,"109341, г.Москва, ул. Братиславская, дом 4",37.751314,55.665203
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1573""",http://gum1573.mskobr.ru,http://st.educom.ru//eduoffices/gateways/get_file.php?id={D3C7832C-F3AA-4829-BAA5-83DBF740891A}&name=%D0%A1amoanaliz-raboty-%D0%93%D0%91%D0%9E%D0%A3-gimnazii-%E2%84%961573--za-2013-2014-uchebnyy-god(1).pdf,2014,368,74.9,,,,,,69.6,,,,61.7,,49,,58.3,,67.1,,49,,63.4,,67.7,,52.6,,"127253, г. Москва, ул. Псковская, д.11",37.552975,55.906582
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1811 ""Восточное Измайлово""""",http://1811.mskobr.ru,http://1811.mskobr.ru/files/Doki/Publ.Otchet/%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%201811%202014-15%20%D1%83.%D0%B3..pdf,2015,3336,73.7,34,29,58.9,,,74.1,165,,,61,91,57.4,17,55.2,29,64.8,11,50.8,128,59.9,31,60.5,35,64,1,"105203, г. Москва, Первомайская ул., 111.",37.814726,55.793905
