id,result,year,school_id,subject_id
61927,59.5,2015,9593,6
61928,44.6,2015,9593,11
61929,82.75,2015,9593,3
61930,68.2,2015,9593,9
61931,60.17,2015,9593,4
61932,75.23,2015,9594,2
61933,61.61,2015,9594,1
61934,58.88,2015,9594,8
61935,56.63,2015,9594,7
61936,64.83,2015,9594,6
61937,60.38,2015,9594,11
61938,56,2015,9594,3
61939,61.8,2015,9594,9
61940,53.22,2015,9594,4
61941,75.47,2015,9595,2
61942,53.28,2015,9595,1
61943,65,2015,9595,8
61944,69.25,2015,9595,5
61945,70,2015,9595,7
61946,62.6,2015,9595,6
61947,77.17,2015,9595,3
61948,66.43,2015,9595,9
61949,67.83,2015,9595,4
61950,72.09,2015,9596,2
61951,38,2015,9596,1
61952,55.91,2015,9596,8
61953,49.43,2015,9596,4
61954,78.08,2015,9597,2
61955,49.63,2015,9597,1
61956,60.56,2015,9597,8
61957,69.91,2015,9597,5
61958,57.36,2015,9597,7
61959,55.29,2015,9597,9
61960,59.29,2015,9597,11
61961,70.06,2015,9597,3
61962,59.06,2015,9597,4
61963,75.76,2015,9598,2
61964,41.52,2015,9598,1
61965,61.29,2015,9598,8
61966,53.27,2015,9598,4
61967,47,2015,9598,7
61968,61.83,2015,9599,2
61969,29.4,2015,9599,1
61970,53.13,2015,9599,8
61971,41,2015,9599,7
61972,43.4,2015,9599,9
61973,80.07,2015,9600,2
61974,51.54,2015,9600,1
61975,70.2,2015,9600,8
61976,61.8,2015,9600,7
61977,52.33,2015,9600,9
61978,72.65,2015,9601,2
61979,36.22,2015,9601,1
61980,54.87,2015,9601,8
61981,71.16,2015,9603,2
61982,56.43,2015,9603,1
61983,54.79,2015,9603,8
61984,59.2,2015,9603,9
61985,64.46,2015,9604,2
61986,35.85,2015,9604,1
61987,46.82,2015,9604,8
61988,37,2015,9604,4
61989,38.71,2015,9604,9
61990,67.75,2015,9605,2
61991,43.1,2015,9605,1
61992,57,2015,9605,8
61993,47,2015,9605,7
61994,65.67,2015,9605,6
61995,58.7,2015,9605,9
61996,80.12,2015,9607,2
61997,42.5,2015,9607,1
61998,57.39,2015,9607,8
61999,63.75,2015,9607,5
62000,54.78,2015,9607,7
62001,67.4,2015,9607,6
62002,71.25,2015,9607,11
62003,64.8,2015,9607,9
62004,53.31,2015,9607,4
62005,64.12,2015,9608,2
62006,34.36,2015,9608,1
62007,46.43,2015,9608,8
62008,44.6,2015,9608,7
62009,46.6,2015,9608,9
62010,44.25,2015,9608,3
62011,68.19,2015,9609,2
62012,47.25,2015,9609,1
62013,57.2,2015,9609,8
62014,46.71,2015,9609,7
62015,69.72,2015,9610,2
62016,45.14,2015,9610,1
62017,53.5,2015,9610,8
62018,66.69,2015,9611,2
62019,41.33,2015,9611,1
62020,56.73,2015,9611,8
62021,53.4,2015,9611,9
62022,75.63,2015,9612,2
62023,57.53,2015,9612,1
62024,63.1,2015,9612,8
62025,57.56,2015,9612,5
62026,54.47,2015,9612,7
62027,59.86,2015,9612,6
62028,65.2,2015,9612,11
62029,78.25,2015,9612,3
62030,58.4,2015,9612,9
62031,61.83,2015,9612,4
62032,74.78,2015,9614,2
62033,68,2015,9614,11
62034,48.79,2015,9614,1
62035,50.15,2015,9614,8
62036,48.6,2015,9614,7
62037,71.25,2015,9615,2
62038,28.6,2015,9615,1
62039,52.88,2015,9615,8
62040,70.65,2015,9616,2
62041,49,2015,9616,1
62042,53.04,2015,9616,8
62043,61.44,2015,9616,7
62044,55.57,2015,9616,9
62045,64.7,2015,9616,11
62046,61.75,2015,9616,3
62047,85.82,2015,9618,2
62048,52.11,2015,9618,1
62049,63.53,2015,9618,8
62050,61,2015,9618,5
62051,73.8,2015,9618,6
62052,77.5,2015,9618,3
62053,82.64,2015,9618,9
62054,59.25,2015,9618,4
62055,64.3,2015,9619,2
