LegalAddress,FullName,ShortName
"117279, г. Москва, ул. Введенского, д.28",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 17»,ГБОУ школа № 17
"127220, г. Москва, ул. Писцовая, д. 7а",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1164»,ГБОУ школа № 1164
"107150, г. Москва, ул. Ивантеевская, 32А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 362»,ГБОУ «Школа № 362»
"117449, г. Москва, ул. Шверника, д. 17, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 625»,ГБОУ гимназия № 625
"107564, г. Москва, ул. Краснобогатырская, д. 21А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1360»,ГБОУ школа № 1360
"127238, г. Москва, ул.3-й Нижнелихоборский пр-д, д.6А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1213»,ГБОУ школа № 1213
"115612, г. Москва, ул.Братеевская, д.8, корп.2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1034»,ГБОУ школа № 1034
"121351, г. Москва, ул. Бобруйская, д.7","Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж градостроительства, транспорта и технологий № 41»",ГБПОУ КГТиТ № 41
"117335, г. Москва, улица Архитектора Власова, дом 19а",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1205»,ГБОУ школа № 1205
"119027, г. Москва, ул. Большая Внуковская, д.4",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 41 имени Григория Алексеевича Тарана»,ГБОУ школа № 41
"129281, г. Москва, ул. Енисейская, д. 32, корпус 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1095»,ГБОУ школа № 1095
"115172, г. Москва, ул.Большие Каменщики, д.7",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж связи № 54» имени П.М. Вострухина,ГБПОУ КС № 54
"124683, г. Москва, Зеленоград, корп. 1816",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1912 имени Бауыржана Момышулы»,ГБОУ школа № 1912
